No;ur.kpss
1;3.149380385
2;2.827477847
3;2.51624199
4;2.508543898
5;2.291926144
6;2.801644874
7;2.885545683
8;2.570058311
9;2.562310489
10;2.554609243
11;3.05504442
12;3.228014881
13;3.582472652
14;3.57180826
15;3.863779271
16;3.8523282
17;4.142604165
18;4.118228997
19;4.393092923
20;4.380262266
21;4.36750635
22;4.638512658
23;4.329680575
24;4.598511324
25;4.58533045
26;4.572224934
27;5.114751117
28;5.376117689
29;5.360945061
30;5.330855345
31;5.301101597
32;5.286348956
33;5.541583914
34;5.511036271
35;5.762911284
36;5.73144566
37;5.98004233
38;6.226638873
39;5.915703085
40;5.884050002
41;5.868350183
42;5.837200622
43;5.549640545
44;5.535009508
45;5.505977718
46;5.477248965
47;5.448818528
48;5.420681784
49;5.142521181
50;4.616204176
51;4.342955793
52;4.071809302
53;4.309919248
54;4.288172748
55;4.277381598
56;4.266644632
57;4.000533461
58;3.736424674
59;3.474294844
60;3.214120921
61;3.206193246
62;3.690455694
63;3.440142672
64;3.431709292
65;3.174869831
66;2.919915469
67;2.912827292
68;2.905773448
69;3.136565928
70;3.129015799
71;3.357629553
72;3.349595443
73;3.576066388
74;3.791923486
75;4.717856028
76;5.165467486
77;5.381415281
78;5.822366028
79;5.582844955
80;7.137666284
81;7.104934615
82;7.748749548
83;7.931675483
84;8.563788516
85;9.168428269
86;9.53101798
87;9.656619839
88;9.593407501
89;10.17092108
90;10.3095509
91;10.9199292
92;10.3358513
93;11.28544895
94;11.19179162
95;11.51166906
96;11.41768291
97;11.11131681
98;10.62058242
99;9.948555121
100;9.700973644
101;8.855339734
102;8.786135579
103;9.105996552
104;8.265990569
105;7.608230646
106;7.368771579
107;7.119110086
108;6.886441108
109;6.477749832
110;6.084826042
111;5.884050002
112;5.684389898
113;6.029223026
114;5.809255683
115;5.406722127
116;5.561971528
117;5.348868495
118;5.320403606
119;4.939275533
120;4.913268858
121;5.066585745
122;5.904492584
123;6.230388334
124;6.720874969
125;6.520319381
126;6.48691543
127;6.453852114
128;6.421124246
129;6.225727524
130;6.194448596
131;6.496872119
132;6.464553596
133;6.59217208
134;6.052542039
135;6.180828737
136;6.297479916
137;6.899287149
138;7.174390486
139;7.446035367
140;7.562657533
141;8.142210472
142;8.552217344
143;8.499321283
144;8.607460877
145;8.847229763
146;9.386613623
147;9.76017878
148;9.971078312
149;10.16326455
150;10.5052776
151;10.84092985
152;11.18643577
153;11.22539942
154;11.3967187
155;11.86057424
156;12.44698419
157;12.98750814
158;13.24469898
159;13.62102048
160;13.61836796
161;13.47561325
162;13.33582474
163;12.35502394
164;12.12445486
165;12.01696716
166;11.89643707
167;11.89519429
168;11.64817993
169;11.14955042
170;10.7888962
171;10.08560035
172;9.654551041
173;9.34167672
174;9.255155737
175;10.23292918
176;10.27127827
177;10.40485708
178;9.777574358
179;9.147957286
180;8.537037078
181;7.933674224
182;7.337718571
183;6.658214258
184;6.411755712
185;6.683521282
186;6.93611278
187;6.351340572
188;5.794142849
189;4.822737477
190;4.909602134
191;4.380262266
192;3.754351246
193;3.640547639
194;3.425347848
195;3.527336638
196;3.922071315
197;3.38320324
198;2.444113516
199;2.331580531
200;2.426812727
201;2.726064821
202;2.715098907
203;3.114264736
204;3.717153211
205;4.200617563
206;4.587045407
207;4.777027627
208;4.453977137
209;4.243359841
210;4.235000157
211;4.21837923
212;4.205998913
213;4.193691062
214;4.177392225
215;4.070329311
216;3.963786176
217;3.465216771
218;3.542735261
219;3.720028369
220;3.519145834
221;3.512463593
222;3.598873233
223;3.399760854
224;3.297519682
225;3.195760677
226;3.18378951
227;3.453446309
228;3.721359634
229;3.896596853
230;3.148408193
231;2.130696631
232;1.576295967
233;1.665163359
234;1.752004242
235;1.657496509
236;1.563250225
237;1.742364115
238;1.554672374
239;1.276225161
240;1.180222506
241;1.355646608
242;1.896219344
243;2.801810025
244;3.613762692
245;3.603993648
246;3.679194693
247;3.851797244
248;4.198919629
249;4.183965834
250;4.263523164
251;4.429422023
252;4.240918193
253;4.046286361
254;3.86012837
